id;keyword_en;required_context_en;keyword_de;required_context_de;keyword_fr;required_context_fr;keyword_it;required_context_it
c22;coastal area;NA;Küstengebiet;NA;zone côtière;NA;zona costiera;NA
c23;coastal biodiversity;NA;biologische Vielfalt an der Küste;NA;biodiversité côtière;NA;biodiversità costiera;NA
c24;coastal ecosystem;NA;Ökosystem der Küstengebiete;NA;écosystème côtier;NA;ecosistema costiero;NA
c25;coastal environment;NA;Umwelt im Küstenbereich;NA;environnement côtier;NA;ambiente costiero;NA
c26;coastal fishery;NA;Küstenfischerei;NA;pêche côtière;NA;pesca costiera;NA
c27;coastal habitats;NA;Lebensräume an der Küste;NA;habitats côtiers;NA;habitat costiero;NA
c28;coastal ocean;NA;Küstenmeer;NA;océan côtier;NA;oceano costiero;NA
c29;coastal resource;NA;Küstenressource;NA;ressource côtière;NA;risorsa costiera;NA
c30;coastal system;NA;Küstensystem;NA;système côtier;NA;sistema costiero;NA
c31;coastal wetland;NA;Küstenfeuchtgebiet;NA;zone humide côtière;NA;zona umida costiera;NA
c32;cod;NA;Kabeljau;NA;morue;NA;merluzzo;NA
c33;commercial fishery;NA;kommerzielle Fischerei;NA;pêche commerciale;NA;pesca commerciale;NA
c34;common sole;NA;Seezunge;NA;sole commune;NA;sogliola comune;NA
c35;conservation;NA;Erhaltung;NA;conservation;NA;conservazione;NA
c36;conserve oceans;NA;Erhaltung der Meere;NA;conservation des océans;NA;conservare gli oceani;NA
c37;contamination;NA;Verschmutzung;NA;contamination;NA;contaminazione;NA
c38;coral reef;NA;Korallenriff;NA;récif corallien;NA;barriera corallina;NA
c39;coral reef ecosystem;NA;Korallenriff-Ökosystem;NA;écosystème des récifs coralliens;NA;ecosistema della barriera corallina;NA
c40;cyanide fishing;NA;Zyanid-Fischerei;NA;pêche au cyanure;NA;pesca al cianuro;NA
c41;debris;NA;Trümmer;NA;débris;NA;detriti;NA
c42;deepwater redfish;NA;Tiefsee-Rotbarsch;NA;sébaste de haute mer;NA;scorfano d'acqua profonda;NA
c43;destructive;NA;zerstörerisch;NA;destructeur;NA;distruttivo;NA
c44;destructive fishing;NA;zerstörerische Fischerei;NA;pêche destructive;NA;pesca distruttiva;NA
c45;eel;NA;Aal;NA;anguille;NA;anguilla;NA
c46;environmental degradation;NA;Umweltzerstörung;NA;dégradation de l'environnement;NA;degrado ambientale;NA
c47;environmental issues with salmon;NA;Umweltprobleme mit Lachs;NA;problèmes environnementaux liés au saumon;NA;problemi ambientali con il salmone;NA
c48;environmental pollution;NA;Umweltverschmutzung;NA;pollution environnementale;NA;inquinamento ambientale;NA
c49;essential fish habitat;NA;Lebensraum für Fische;NA;habitat essentiel du poisson;NA;habitat ittico essenziale;NA
c50;fish population;NA;Fischbestand;NA;population de poissons;NA;popolazione ittica;NA
c51;fish species;NA;Fischarten;NA;espèces de poissons;NA;specie ittiche;NA
c52;fish stock;NA;Fischbestand;NA;stock de poissons;NA;stock ittico;NA
c53;fish stock;NA;Fischbestand;NA;stock de poissons;NA;stock ittico;NA
c54;fisheries;NA;Fischerei;NA;pêche;NA;pesca;NA
c55;fisheries and climate change;NA;fischerei und klimawandel;NA;pêche et changement climatique;NA;pesca e cambiamento climatico;NA
c56;fisheries management;NA;fischereimanagement;NA;gestion de la pêche;NA;gestione della pesca;NA
c57;fisheries subsidies;NA;Fischereisubventionen;NA;subventions à la pêche;NA;sussidi alla pesca;NA
c58;fisheries sustainability;NA;Nachhaltigkeit in der Fischerei;NA;durabilité de la pêche;NA;sostenibilità della pesca;NA
c59;fishermen;NA;Fischer;NA;pêcheurs;NA;pescatori;NA
c60;fishery;NA;Fischerei;NA;pêche;NA;pesca;NA
c61;fishery resource;NA;Fischereiressourcen;NA;ressource halieutique;NA;risorsa della pesca;NA
c62;fishing activitt;NA;Fischereitätigkeit;NA;activité de pêche;NA;attività di pesca;NA
c63;fishing community;NA;Fischereigemeinschaft;NA;communauté de pêcheurs;NA;comunità di pescatori;NA
c64;fishing licence;NA;Fischereilizenz;NA;permis de pêche;NA;licenza di pesca;NA
c65;fishing practise;NA;Fischereipraktiken;NA;pratique de la pêche;NA;pratica della pesca;NA
c66;floating debris;NA;Schwemmgut;NA;débris flottants;NA;detriti galleggianti;NA
c67;gadus;NA;gadus;NA;gadus;NA;gadus;NA
c68;global fishery;NA;globale fischerei;NA;pêche mondiale;NA;pesca globale;NA
c69;global ocean;NA;globaler Ozean;NA;océan mondial;NA;oceano globale;NA
c70;illegal;NA;illegal;NA;illégal;NA;illegale;NA
c71;illegal fishing;NA;illegale fischerei;NA;pêche illégale;NA;pesca illegale;NA
c72;increased temperature;NA;erhöhte Temperatur;NA;température accrue;NA;aumento della temperatura;NA
c73;island conservation;NA;Inselschutz;NA;conservation des îles;NA;conservazione dell'isola;NA
c74;lamniformes;NA;Lamniformes;NA;lamniformes;NA;lamniformi;NA
c75;litter;NA;Abfälle;NA;détritus;NA;rifiuti;NA
c76;local fisher;NA;lokaler Fischer;NA;pêcheur local;NA;pescatore locale;NA
c77;lophius piscatorius;NA;lophius piscatorius;NA;lophius piscatorius;NA;lophius piscatorius;NA
c78;maltese skate;NA;maltesischer Rochen;NA;raie maltaise;NA;razza maltese;NA
c79;mariculture;NA;marikultur;NA;mariculture;NA;maricoltura;NA
c80;marine acidity;NA;Säuregehalt der Meere;NA;acidité marine;NA;acidità marina;NA
c81;marine aquaculture;NA;marine aquakultur;NA;aquaculture marine;NA;acquacoltura marina;NA
c82;marine biodiversity;NA;marine biodiversität;NA;biodiversité marine;NA;biodiversità marina;NA
c83;marine biotechnology;NA;Marine Biotechnologie;NA;biotechnologie marine;NA;biotecnologia marina;NA
c84;marine conservation;NA;Meeresschutz;NA;conservation marine;NA;conservazione marina;NA
c85;marine debris;NA;Meeresverschmutzung;NA;débris marins;NA;detriti marini;NA
c86;marine diversity;NA;marine Vielfalt;NA;diversité marine;NA;diversità marina;NA
c87;marine ecoregion;NA;Ökoregion Meer;NA;écorégion marine;NA;ecoregione marina;NA
c88;marine ecosystem;NA;marines Ökosystem;NA;écosystème marin;NA;ecosistema marino;NA
c89;marine environment;NA;Meeresumwelt;NA;environnement marin;NA;ambiente marino;NA
c90;marine fishery;NA;Meeresfischerei;NA;pêcherie marine;NA;pesca marina;NA
c91;marine habitat;NA;Lebensraum Meer;NA;habitat marin;NA;habitat marino;NA
c92;marine life protection act;NA;Gesetz zum Schutz des Meereslebens;NA;loi sur la protection de la vie marine;NA;legge sulla protezione della vita marina;NA
c93;marine park;NA;Meerespark;NA;parc marin;NA;parco marino;NA
c94;marine pollution;NA;Meeresverschmutzung;NA;pollution marine;NA;inquinamento marino;NA
c95;marine protected area;NA;Meeresschutzgebiet;NA;aire marine protégée;NA;area marina protetta;NA
c96;marine resource;NA;Meeresressource;NA;ressource marine;NA;risorsa marina;NA
c97;marine resource;NA;Meeresressource;NA;ressource marine;NA;risorsa marina;NA
c98;marine science;NA;Meereswissenschaft;NA;science marine;NA;scienza marina;NA
c99;marine system;NA;Meeressystem;NA;système marin;NA;sistema marino;NA
c100;marine technology;NA;Meerestechnologie;NA;technologie marine;NA;tecnologia marina;NA
c101;marlin;NA;Marlin;NA;marlin;NA;marlin;NA
c102;maximum sustainable yield;NA;höchstmöglicher Dauerertrag;NA;rendement maximal durable;NA;rendimento massimo sostenibile;NA
c103;mercury in fish;NA;Quecksilber in Fisch;NA;mercure dans le poisson;NA;mercurio nel pesce;NA
c104;muro-ami;NA;muro-ami;NA;muro-ami;NA;muro-ami;NA
c105;muroami;NA;muroami;NA;muroami;NA;muroami;NA
c106;neothunnus;NA;neothunnus;NA;neothunnus;NA;neothunnus;NA
c107;ocean;NA;Ozean;NA;océan;NA;oceano;NA
c108;ocean acidification;NA;Ozeanübersäuerung;NA;acidification des océans;NA;acidificazione dell'oceano;NA
c109;ocean ecosystem;NA;Ozean-Ökosystem;NA;écosystème océanique;NA;ecosistema dell'oceano;NA
c110;ocean ecosystem;NA;Ozean-Ökosystem;NA;écosystème de l'océan;NA;oceano ecosistema;NA
c111;ocean health;NA;Gesundheit der Ozeane;NA;santé des océans;NA;salute dell'oceano;NA
c112;oceanic;NA;Ozean;NA;océanique;NA;oceano;NA
c113;oil pollution;NA;Ölverschmutzung;NA;pollution pétrolière;NA;inquinamento da petrolio;NA
c114;open ocean;NA;Offener Ozean;NA;océan ouvert;NA;oceano aperto;NA
c115;orange roughy;NA;Granatbarsch;NA;H Hérér rug rugueux;NA;pesce specchio d'acqua arancione;NA
c116;over-fishing;NA;Überfischung;NA;surpêche;NA;pesca eccessiva;NA
c117;overexploitation;NA;Überfischung;NA;surexploitation;NA;sovrasfruttamento;NA
c118;overfishing;NA;Überfischung;NA;surpêche;NA;sovrasfruttamento;NA
c119;parapenaeopsis sculptilis;NA;Parapenaeopsis sculptilis;NA;parapenaeopsis sculptilis;NA;parapenaeopsis sculptilis;NA
c120;patagonian toothfish;NA;Schwarzer Seehecht;NA;légine australe;NA;austromerluzzo della patagonia;NA
c121;penaeus monodon;NA;Penaeus monodon;NA;penaeus monodon;NA;penaeus monodon;NA
c122;ph decrease;NA;ph-Abnahme;NA;diminution du ph;NA;diminuzione del ph;NA
c123;plastic;NA;Plastik;NA;plastique;NA;plastica;NA
c124;pollution;NA;Verschmutzung;NA;pollution;NA;inquinamento;NA
c125;pulse fishing;NA;pulsierende Fischerei;NA;pêche pulsée;NA;pesca a impulsi;NA
c126;riverkeeper;NA;riverkeeper;NA;riverkeeper;NA;guardiano del fiume;NA
c127;rose fish;NA;Rosenfisch;NA;poisson rose;NA;pesce rosa;NA
c128;school shark;NA;Hai-Schule;NA;requin d'école;NA;squalo della scuola;NA
c129;sea;NA;Meer;NA;mer;NA;mare;NA
c130;sea ecosystem;NA;Ökosystem Meer;NA;écosystème marin;NA;ecosistema marino;NA
c131;seagrass meadow;NA;Seegraswiese;NA;prairie sous-marine;NA;prato di fanerogame;NA
c132;seawater acidification;NA;Versauerung des Meerwassers;NA;acidification de l'eau de mer;NA;acidificazione dell'acqua di mare;NA
c133;seawater ph;NA;pH-Wert des Meerwassers;NA;ph de l'eau de mer;NA;ph dell'acqua di mare;NA
c134;shark conservation act;NA;Haischutzgesetz;NA;Loi sur la protection des requins;NA;legge sulla conservazione degli squali;NA
c135;shark fin soup;NA;Haifischflossensuppe;NA;Soupe aux ailerons de requin;NA;zuppa di pinne di squalo;NA
c136;shark finning;NA;Haifischflossen;NA;Couper les ailerons de requin;NA;pinne di squalo;NA
c137;shortfin mako shark;NA;Kurzflossen-Makohai;NA;requin-taupe bleu;NA;squalo mako a pinne corte;NA
c138;shrimp aquaculture;NA;Garnelen-Aquakultur;NA;aquaculture de crevettes;NA;acquacoltura di gamberi;NA
c139;small-scale fisher;NA;handwerkliche Fischerei;NA;pêcheur à petite échelle;NA;pesca su piccola scala;NA
c140;small-scale fishery;NA;handwerkliche Fischerei;NA;pêche à petite échelle;NA;pesca su piccola scala;NA
c141;sole (fish);NA;Seezunge (Fisch);NA;sole (poisson);NA;sogliola (pesce);NA
c142;species diversity;NA;Artenvielfalt;NA;diversité des espèces;NA;diversità di specie;NA
c143;spiny dogfish;NA;Dornhai;NA;aiguillat commun;NA;spinarolo;NA
c144;spotback skate;NA;Fleckenrochen;NA;raie tachetée;NA;razza a macchia d'olio;NA
c145;sustainable aquaculture;NA;nachhaltige Aquakultur;NA;aquaculture durable;NA;acquacoltura sostenibile;NA
c146;sustainable fishery;NA;Nachhaltige Fischerei;NA;pêche durable;NA;pesca sostenibile;NA
c147;sustainable fishing;NA;Nachhaltige Fischerei;NA;pêche durable;NA;pesca sostenibile;NA
c148;sustainable seafood;NA;Nachhaltige Meeresfrüchte;NA;produits de la mer durables;NA;frutti di mare sostenibili;NA
c149;sustainable yield in fishery;NA;Nachhaltiger Ertrag in der Fischerei;NA;rendement durable dans la pêche;NA;rendimento sostenibile nella pesca;NA
c150;swordfish;NA;Schwertfisch;NA;espadon;NA;pesce spada;NA
c151;thunnus (subgenus);NA;Thunnus (Untergattung);NA;thunnus (sous-genre);NA;thunnus (sottogenere);NA
c152;tiger shark;NA;Tigerhai;NA;requin tigre;NA;squalo tigre;NA
c153;tuna;NA;Thunfisch;NA;thon;NA;tonno;NA
c154;turtle excluder device;NA;Schildkrötenschutzvorrichtung;NA;dispositif d'exclusion des tortues;NA;dispositivo di esclusione delle tartarughe;NA
c155;unregulated;NA;unregulierte;NA;non réglementé;NA;non regolamentato;NA
c156;unregulated fishing;NA;unregulierte Fischerei;NA;pêche non réglementée;NA;pesca non regolamentata;NA
c157;unreported;NA;nicht gemeldete;NA;non déclarée;NA;non dichiarata;NA
c158;unsustainable fishing;NA;nicht nachhaltige Fischerei;NA;pêche non durable;NA;pesca insostenibile;NA
c159;whale and dolphin conservation;NA;Schutz von Walen und Delfinen;NA;conservation des baleines et des dauphins;NA;conservazione di balene e delfini;NA
c160;whiteleg shrimp;NA;Weißfußgarnelen;NA;crevette blanche;NA;gambero bianco;NA
