id;keyword_en;required_context_en;forbidden_context_en;keyword_de;required_context_de;forbidden_context_de;keyword_fr;required_context_fr;forbidden_context_fr;keyword_it;required_context_it;forbidden_context_it
c37;climate;sustainable development education;;Klima;Bildung für nachhaltige Entwicklung;;climat;éducation au développement durable;;clima;educazione allo sviluppo sostenibile;
c38;climate;energy conservation;;Klima;Energieeinsparung;;climat;économie d'énergie;;clima;conservazione dell'energia;
c39;climate;emission;;Klima;Emissionen;;climat;émission;;clima;emissioni;
c40;climate;extreme;;Klima;extrem;;climat;extrême;;clima;estremo;
c41;climate;food chain;;Klima;Nahrungskette;;climat;chaîne alimentaire;;clima;catena alimentare;
c42;climate;framework;;Klima;Rahmenbedingungen;;climat;cadre;;clima;quadro di riferimento;
c43;climate;hazard;;Klima;Gefahr;;climat;danger;;clima;pericolo;
c44;climate;island;;Klima;Insel;;climat;île;;clima;isola;
c45;climate;land use;;Klima;Landnutzung;;climat;utilisation des terres;;clima;uso del suolo;
c46;climate;megacit;;Klima;Megastadt;;climat;mégacité;;clima;megacittà;
c47;climate;consumption;;Klima;Verbrauch;;climat;consommation;;clima;consumo;
c48;climate;production;;Klima;Produktion;;climat;production;;clima;produzione;
c49;climate;small island developing states;;Klima;kleine Inselentwicklungsstaaten;;climat;petits états insulaires en développement;;clima;piccoli stati insulari in via di sviluppo;
c50;climate;anthropocene;;Klima;Anthropozän;;climat;anthropocène;;clima;antropocene;
c51;climate;atmospher;;Klima;Atmosphäre;;climat;atmosphère;;clima;atmosfera;
c52;climate;clean development mechanism;;Klima;Mechanismus für umweltverträgliche Entwicklung;;climat;mécanisme de développement propre;;clima;meccanismo di sviluppo pulito;
c53;climate;glacier retreat;;Klima;Gletscherrückgang;;climat;recul des glaciers;;clima;ritiro dei ghiacciai;
c54;climate;warming;;Klima;Erwärmung;;climat;réchauffement;;clima;riscaldamento;
c55;climate;greenhouse;;Klima;Treibhaus;;climat;effet de serre;;clima;serra;
c56;climate;ice-ocean interaction;;Klima;Wechselwirkung zwischen Eis und Ozean;;climat;interaction glace-océan;;clima;interazione ghiaccio-oceano;
c57;climate;nitrogen cycle;;Klima;Stickstoffkreislauf;;climat;cycle de l'azote;;clima;ciclo dell'azoto;
c58;climate;ocean acidification;;Klima;Versauerung der Ozeane;;climat;acidification des océans;;clima;acidificazione degli oceani;
c59;climate;radiative forcing;;Klima;Strahlungsantrieb;;climat;forçage radiatif;;clima;forzante radiativo;
c60;climate;sea ice;;Klima;Meereis;;climat;glace de mer;;clima;ghiaccio marino;
c61;climate;sea level;;Klima;Meeresspiegel;;climat;niveau des mers;;clima;livello del mare;
c62;climate;thermal expansion;;Klima;thermische Ausdehnung;;climat;expansion thermique;;clima;espansione termica;
c63;climate;unfccc;;Klima;unfccc;;climat;FCCC;;clima;nonccc;
c64;climate;ozone;;Klima;Ozon;;climat;ozone;;clima;ozono;
