c35;misogyny;NA;Misogynie;NA;misogynie;NA;misoginia;NA
c36;female infanticide*;NA;Kindermord an Frauen*;NA;infanticide* féminin;NA;infanticidio femminile;NA
c37;human trafficking;NA;Menschenhandel;NA;trafic d'êtres humains;NA;traffico di esseri umani;NA
c38;forced prostitution;NA;Zwangsprostitution;NA;prostitution forcée;NA;prostituzione forzata;NA
c39;equality;sexual rights;Gleichberechtigung;sexuelle Rechte;égalité;droits sexuels;uguaglianza;diritti sessuali
c40;equality;reproductive rights;Gleichstellung;Reproduktive Rechte;égalité;droits reproductifs;uguaglianza;diritti riproduttivi
c41;equality;divorce rights;Gleichstellung;Scheidungsrecht;égalité;droits du divorce;uguaglianza;diritti di divorzio
c42;women's rights;NA;Frauenrechte;NA;droits de la femme;NA;diritti delle donne;NA
c43;gender injustice*;NA;Geschlechterungerechtigkeit*;NA;injustice de genre;NA;ingiustizia di genere*;NA
c44;gender discrimination;NA;Geschlechterdiskriminierung;NA;discrimination de genre;NA;discriminazione di genere;NA
c45;gender disparities;NA;geschlechtsspezifische Ungleichheiten;NA;disparités entre les sexes;NA;disparità di genere;NA
c46;gender gap;NA;Geschlechterlücke;NA;écart entre les sexes;NA;divario di genere;NA
c47;female exploitation;NA;Ausbeutung von Frauen;NA;exploitation des femmes;NA;sfruttamento femminile;NA
c48;household equity;NA;Haushaltsgerechtigkeit;NA;équité des ménages;NA;equità domestica;NA
c49;female political participation;NA;Politische Partizipation von Frauen;NA;participation politique des femmes;NA;partecipazione politica femminile;NA
c50;women's underrepresentation;NA;Unterrepräsentation von Frauen;NA;sous-représentation des femmes;NA;sottorappresentazione delle donne;NA
c51;female entrepreneurship;NA;weibliches Unternehmertum;NA;entrepreneuriat féminin;NA;imprenditorialità femminile;NA
c52;female ownership;NA;weibliches Eigentum;NA;propriété féminine;NA;proprietà femminile;NA
c53;women's economic development;NA;Wirtschaftliche Entwicklung von Frauen;NA;développement économique des femmes;NA;sviluppo economico delle donne;NA
c54;women's power;NA;Macht der Frauen;NA;pouvoir des femmes;NA;potere delle donne;NA
c55;gender-responsive budgeting;NA;Gender Responsive Budgeting;NA;budgétisation sensible au genre;NA;bilancio di genere;NA
c56;gender quota;foreign aid;Geschlechterquote;Auslandshilfe;quota de genre;aide étrangère;quota di genere;aiuti esteri
c57;gender quota;women's empowerment;Geschlechterquote;Stärkung der Rolle der Frau;quota de genre;autonomisation des femmes;quota di genere;emancipazione femminile
c58;gender segregation;NA;Geschlechtertrennung;NA;ségrégation de genre;NA;segregazione di genere;NA
c59;gender-based violence;NA;geschlechtsspezifische Gewalt;NA;violence sexiste;NA;violenza di genere;NA
c60;gender participation;NA;Geschlechterbeteiligung;NA;participation des femmes;NA;partecipazione di genere;NA
c61;female politician;NA;Frauenpolitikerin;NA;femme politique;NA;donna politica;NA
c62;female leader;NA;weibliche Führungskraft;NA;femme cadre;NA;leader donna;NA
c63;contraceptive behaviour;NA;Verhütungsverhalten;NA;comportement contraceptif;NA;comportamento contraccettivo;NA
c64;women's autonomy;NA;Autonomie der Frauen;NA;autonomie des femmes;NA;autonomia delle donne;NA
c65;agrarian feminism;NA;Agrarfeminismus;NA;féminisme agraire;NA;femminismo agrario;NA
c66;microfinance;NA;Mikrofinanzierung;NA;microfinance;NA;microfinanza;NA
c67;women's livelihood;NA;Lebensunterhalt der Frauen;NA;moyens de subsistance des femmes;NA;sostentamento delle donne;NA
c68;women's ownership;NA;Eigentum der Frauen;NA;propriété des femmes;NA;proprietà delle donne;NA
c69;female smallholder;NA;Kleinbäuerinnen;NA;petite exploitation féminine;NA;piccola impresa femminile;NA
c70;gender mainstreaming;NA;Gender Mainstreaming;NA;intégration de la dimension de genre;NA;mainstreaming di genere;NA
